Date	Site	Flight	Wind	Duration	C/F			Who	Notes
20/9/2013	Darley Moor	10-20' SL		3	0				
20/9/2013	Darley Moor	10-20' SL		3	3				
20/9/2013	Darley Moor	30-40' SL		3	6				
20/9/2013	Darley Moor	30-40' SL		3	9				
20/9/2013	Darley Moor	50-60' SL		3	12				
20/9/2013	Darley Moor	40-50' SL Release		3	15				
15/11/2013	Darley Moor	40-50' SL Release		3	18				
15/11/2013	Darley Moor	50-60' SL Release		3	21				
15/11/2013	Darley Moor	60' R +L  Turns		3	24				
15/11/2013	Darley Moor	80-100' Turns		3	27				
15/11/2013	Darley Moor	HFC		3	30				
15/11/2013	Darley Moor	HFC		3	33				
17/11/2013	Darley Moor	HFC		3	36				
17/11/2013	Darley Moor	HFC		3	39				
17/11/2013	Darley Moor	HFC		3	42				
17/11/2013	Darley Moor	HFC		3	45				
17/11/2013	Darley Moor	HFC		3	48				
19/1/2014	Darley Moor	100' SL		3	51				
19/1/2014	Darley Moor	100' Turns		3	54				
19/1/2014	Darley Moor	HFC + 360		3	57				
1/3/2014	Darley Moor	80' SL		3	60				
1/3/2014	Darley Moor	HFC		3	63				
1/3/2014	Darley Moor	HFC		3	66				
1/3/2014	Darley Moor	HFC		3	69				
9/3/2014	Darley Moor	HFC		3	72				
9/3/2014	Darley Moor	HFC		3	75				
9/3/2014	Darley Moor	HFC Active Flying		3	78				
9/3/2014	Darley Moor	HFC Active Flying		3	81				
4/5/2014	Darley Moor	HFC		3	84				
4/5/2014	Darley Moor	HFC		3	87				
4/5/2014	Darley Moor	HFC Big Eears		3	90				
4/5/2014	Darley Moor	HFC Big Eears		3	93				
4/5/2014	Darley Moor	HFC Big Eears		3	96				
4/5/2014	Darley Moor	HFC Big Eears		3	99				
4/5/2014	Darley Moor	HFC Async		3	102				
4/5/2014	Darley Moor	HFC Async		3	105				
4/5/2014	Darley Moor	HFC Speedbar		3	108				
4/5/2014	Darley Moor	HFC Speedbar		3	111				
11/7/2014	Lord's	Top-to-bottom.	5mph NNW	8	119			KY, SG, RE, JL	Wind light but still very floaty, even above BL. Take off untidy.
7/8/2014	Bradwell	Top-to-bottom.	8 - 12 mph W	4	123			KY, A?	Take off fine, didn't find much ridge lift in spite of good winds. Remembered to zig-zag to prevent overshoot on landing. Flew through a patch of lift but didn't recognise / feel it.
3/9/2014	Man Tor SW	Soaring	12mph SW	46	169			Many	Take off OK although I think I had L hand lower when turning so more L brake. Soaring was fine. Landing I overshot spot I was aiming for.
5/9/2014	Darley Moor	HFC	1mph S	3	172				Tow practice
5/9/2014	Darley Moor	HFC + spot landing	0-6 S - SE	3	175				Tow practice + spot landings
5/9/2014	Darley Moor	HFC + spot landing	0-6 S - SE	3	178				Tow practice + spot landings
5/9/2014	Darley Moor	HFC + spot landing	0-6 S - SE	3	181				Tow practice + spot landings
5/9/2014	Darley Moor	HFC + spot landing	0-6 S - SE	3	184				Tow practice + spot landings
3/12/2014	Lord's	Soaring + TL	8-12mph NNE	8	192			Many	Problems with reverse launch because not  too pulling gently enough. Went too far back for TL
3/12/2014	Lord's	Soaring + TL	8-12mph NNE	8	200			Many	TL OK but still could do with more tracking, less far back.
3/12/2014	Lord's	Soaring	8-12mph NNE	54	254	54	1	Many	Soaring until sunset when lift turned off. Katabatic wind took me by surprise and I landed nearly downwind.
4/12/2014	Man Tor SW	Soaring	0-15mph SW	60	314	114	2	Andre	Originally nil wind then presumed wave. Bottom landed when lift turned off.
29/12/2014	Bradwell	Short soar, bottom land	8-15 W	10	324	124	2		Deep snow gave me problems trying to collapse wall - got dragged. Then a short soaring flight at 3PM plus bottom landing
4/1/2015	Rushup	Top to bottom	0-8 S	4	328	128	2	Dave, Rich	Light winds, bit to the SW.
4/1/2015	Rushup	Short soar, slope land	8/12/2015	5	333	133	2		Wind died after a few mins
4/1/2015	Rushup	Top to bottom	0-8 S	4	337	137	2		Fluffed one TO (didn't run).
19/1/2015	Mam Tor NW	Top to bottom	0 - 20 !!	4	341	141	2	Pod+Jen	No wind, then v strong, then back to none. Got dragged on snow.
21/3/2015	Bunster S	Top to bottom	0-8 S / SSE	4	345	145	2	Rich	Very light winds.
